"","Year","Month","Stock_lag_MV","Stock_Ew_Ret","Stock_Vw_Ret"
"454",1963,10,398717992.15625,0.0126077576712955,0.0282374295132207
"455",1963,11,409300203.84375,-0.0166230074307274,-0.0058252038021499
"456",1963,12,402830894.8125,-0.00528708693993256,0.0210909211254024
"457",1964,1,412882567.53125,0.0330067285570131,0.0259050331785801
"458",1964,2,425452762.90625,0.025756960673848,0.0180586052020196
"459",1964,3,432493051.9375,0.0264264720386238,0.0172044576765555
"460",1964,4,439573105.96875,0.000104347916706854,0.00396224954196615
"461",1964,5,442987611.59375,0.00708488286594813,0.0167440841808423
"462",1964,6,448675931.03125,0.0110044397574749,0.0156735404592835
"463",1964,7,454952538.75,0.0299721322085794,0.0204717712354564
"464",1964,8,464572156.28125,-0.00642194830132939,-0.0115370598921082
"465",1964,9,456989697.5,0.037582334486166,0.0296901368565895
"466",1964,10,470427579.34375,0.0193599637541327,0.00884890681273769
"467",1964,11,473812628.28125,-0.000199362601491899,0.00286745382883281
"468",1964,12,470300566.6875,-0.0135372138457463,0.00342276345494053
"469",1965,1,475836028.125,0.0718729107025454,0.0382339776399006
"470",1965,2,493861190.3125,0.0336486311917607,0.00742394838521576
"471",1965,3,495453292.5625,0.0152455124694376,-0.00983446858126191
"472",1965,4,491190837.6875,0.0426586539808365,0.0341614405378528
"473",1965,5,507908440.53125,-0.00632192937165124,-0.00462072926403262
"474",1965,6,504357835.0625,-0.0844024376825706,-0.0514887466702403
"475",1965,7,477505861.8125,0.0290868500241896,0.0173252817070361
"476",1965,8,485239679.1875,0.0417133757889275,0.0305725008019097
"477",1965,9,497806577.625,0.0270119260219594,0.0317102154771045
"478",1965,10,512886724.65625,0.0590710743862342,0.0291031913364386
"479",1965,11,527752576.5,0.0476941457188513,0.00322332919739838
"480",1965,12,525764490.875,0.0437192760217085,0.0134130125092457
"481",1966,1,537054204.09375,0.0635375985237106,0.0109495754930205
"482",1966,2,542783790.09375,0.0299560356454721,-0.00862569594042528
"483",1966,3,535719304.6875,-0.0101269682831126,-0.0212870815782689
"484",1966,4,523429242,0.0472624355173993,0.0247536723235263
"485",1966,5,535494781.625,-0.0878522123509126,-0.0525101846757139
"486",1966,6,506027101.875,-0.00513749989556497,-0.0106618125982924
"487",1966,7,500219797.9375,-0.0158547466346154,-0.0127109715923187
"488",1966,8,493827229.84375,-0.100945853927203,-0.0748765088066915
"489",1966,9,454285884.78125,-0.0187713302380858,-0.00664888068612121
"490",1966,10,450132733.28125,-0.0150427794524681,0.0430168778697198
"491",1966,11,469007836.46875,0.0421080591039085,0.0179377757669585
"492",1966,12,474640769.4375,0.0174191666807954,0.00532371309222401
"493",1967,1,481241447.8125,0.174889016213639,0.0858232285054993
"494",1967,2,522125899.9375,0.043993486153367,0.0113646619783783
"495",1967,3,526606385.6875,0.0596480646554193,0.0438010554733298
"496",1967,4,548464194.75,0.0424311185034214,0.042116726996322
"497",1967,5,571502125.1875,-0.00793234959349593,-0.0397894365286646
"498",1967,6,544618143.875,0.0831673017036579,0.0267555143687958
"499",1967,7,558598268.8125,0.0840426489828199,0.0488520494927382
"500",1967,8,584125716.5625,0.00651860103513656,-0.00579826635612017
"501",1967,9,578030073.9375,0.0635152475876583,0.034116525001864
"502",1967,10,596485616.375,-0.021191907970977,-0.0268092890226795
"503",1967,11,578751933.8125,0.000484901482544238,0.00719286033080588
"504",1967,12,580079140.4375,0.0827998321608395,0.0338352930275328
"505",1968,1,611138941.9375,0.022662537747737,-0.0363355043644195
"506",1968,2,586707870,-0.056878969740634,-0.0334974291812437
"507",1968,3,563947977.375,-0.0109335957639976,0.00592197922989354
"508",1968,4,567245811,0.14632080166558,0.0943830641218445
"509",1968,5,618289949.875,0.0923732329521152,0.0272074289906056
"510",1968,6,633029933.75,0.0154963576249161,0.0111321569893973
"511",1968,7,639666700.5625,-0.0280404293695328,-0.0222973076099209
"512",1968,8,623758222.875,0.0359372903742535,0.0175573079467979
"513",1968,9,634482814.625,0.0692304752441811,0.044336330501677
"514",1968,10,661609151.6875,0.00664999190530378,0.00863670139949559
"515",1968,11,665781511.5625,0.0721996152719408,0.0584207274603965
"516",1968,12,703940365.375,0.00441353049670257,-0.0350145543951804
"517",1969,1,697468503.875,-0.00323944911446905,-0.0072160902810297
"518",1969,2,692517446.375,-0.0868406728969454,-0.0536412211696485
"519",1969,3,653469367.875,0.0193615360390368,0.0307673545413033
"520",1969,4,673604701.9375,0.00304772368421053,0.0198941278778339
"521",1969,5,688704492.6875,0.0049712716923436,0.00373576856157724
"522",1969,6,687841174.375,-0.113193176197118,-0.0663918488801305
"523",1969,7,641139696.21875,-0.0959858193784592,-0.0646702698403177
"524",1969,8,600343501.0625,0.0521655241209692,0.0517641004204006
"525",1969,9,630834677.0625,-0.0247353069647231,-0.0235580783513053
"526",1969,10,615019379.5625,0.0942791946642469,0.0564889932529086
"527",1969,11,649831747.125,-0.0562974250681199,-0.0327248719371117
"528",1969,12,626197420.8125,-0.066934553015805,-0.0198733417947669
"529",1970,1,623292409.9375,-0.040404842366757,-0.0748187677916711
"530",1970,2,575958952.0625,0.0404940583482944,0.0572532027842533
"531",1970,3,608612203,-0.024301365701559,-0.0048832655321094
"532",1970,4,605163103.75,-0.163688224344736,-0.104813403410709
"533",1970,5,540305342.125,-0.0913881966052138,-0.0640489773136582
"534",1970,6,503006364.125,-0.0755363907665916,-0.0520778057907756
"535",1970,7,476236656.6875,0.0585884568064538,0.0744248206997753
"536",1970,8,514039153.875,0.0626114020300088,0.0501657670994106
"537",1970,9,537453655.125,0.128332465874064,0.0471846074764703
"538",1970,10,562704230.5,-0.0595666058746164,-0.0181624197362157
"539",1970,11,551588765.5625,0.00243052357793879,0.0504651805490043
"540",1970,12,577679444.6875,0.0832397459664192,0.0613783270697358
"541",1971,1,621421735.4375,0.137439968586387,0.0521462890490946
"542",1971,2,653333049.5,0.0492913567159635,0.0173983778222854
"543",1971,3,661892179.1875,0.0563581169056932,0.044219086544001
"544",1971,4,691354467.25,0.0278258648618432,0.0342849427381858
"545",1971,5,714777118.5,-0.050377411720104,-0.0368754763996967
"546",1971,6,686741189.125,-0.0180162865058518,0.00269768551476565
"547",1971,7,686490178.4375,-0.0563172301258562,-0.0409549018286888
"548",1971,8,659129469.75,0.041921378690629,0.0425256901983886
"549",1971,9,685265611.375,-0.00530294550872712,-0.00486060529213525
